"","Treatment","phat","n","se","margin","lcl","ucl"
"1","Fruit scat",0.338611111111111,74,0.0550127290605731,0.107822967649983,0.230788143461128,0.446434078761094
"2","Control scat",0.270555555555556,74,0.0516426451310297,0.101217724523201,0.169337831032355,0.371773280078756
"3","No burial",0.134444444444444,74,0.0396554648090595,0.0777232828159521,0.0567211616284923,0.212167727260397
