PairID,Date,TimeID,Block.ID,LastFire,Btreatment,Streatment,StartTime,EndTime,TestDur,ZRemNo,RemNo,Rem,Latency,RemTime,Hour,Weather.conditions,Notes,TimeSiteID,norempair
28,1/14/2022,Time2,8,W,SCRUB,CONTROL,6:56,,23.817,0,NA,0,24,NA,NA,Clear,"9:58, 12:10, 16:37, 17:18 - mouse visitations",Time2_8,1
28,1/14/2022,Time2,8,W,SCRUB,FRUIT,6:51,,23.617,0,NA,0,24,NA,NA,Clear,"7:32, 7:39, 8:27, 8:48 - mouse visitations",Time2_8,1
29,1/15/2022,Time2,1,W,BURN,CONTROL,9:34,,22.933,0,NA,1,8.85,18:33,18,Rain,Rainstorm/cold front,Time2_1,0
29,1/15/2022,Time2,1,W,BURN,FRUIT,NA,,NA,0,NA,0,24,NA,NA,Rain,Nonfunctional camera,Time2_1,0
3,11/20/2021,Time1,2,F,BURN,FRUIT,12:09,,17.883,0,NA,0,24,NA,NA,Clear,,Time1_2,0
3,11/20/2021,Time1,2,F,BURN,CONTROL,6:38,,8:24,12,12,1,2.783,9:25,9,Clear,,Time1_2,0
30,1/15/2022,Time2,1,W,SCRUB,CONTROL,9:15,,23.417,0,NA,1,8.633,18:35,18,Rain,Rainstorm/cold front,Time2_1,0
30,1/15/2022,Time2,1,W,SCRUB,FRUIT,10:10,,22.433,12,12,1,2.117,12:17,12,Rain,13:59 - Mass burial event,Time2_1,0
31,1/15/2022,Time2,4,W,BURN,CONTROL,8:15,,23.817,0,NA,1,10.25,18:30,18,Rain,Rainstorm/cold front,Time2_4,0
31,1/15/2022,Time2,4,W,BURN,FRUIT,8:29,,21.917,15,15,1,4.8,13:18,13,Rain,Rainstorm/coldfront; 14:16 - Mass rolling event,Time2_4,0
32,1/15/2022,Time2,4,W,SCRUB,CONTROL,8:48,,NA,0,NA,0,24,NA,NA,Rain,Rainstorm/cold front; Camera did not detect removal,Time2_4,0
32,1/15/2022,Time2,4,W,SCRUB,FRUIT,9:03,,23.167,2,2,1,5.983,15:02,15,Rain,Rainstorm/coldfront,Time2_4,0
33,1/15/2022,Time2,8,W,BURN,CONTROL,7:48,,23.933,0,NA,1,5.267,13:04,13,Rain,Rainstorm/Cold front,Time2_8,0
33,1/15/2022,Time2,8,W,BURN,FRUIT,7:27,,24.2,0,NA,1,11.867,18:21,18,Rain,Rainstorm/Cold front,Time2_8,0
34,1/15/2022,Time2,8,W,SCRUB,CONTROL,7:09,,24.767,0,NA,0,24,NA,NA,Rain,Rainstorm/cold front; Camera did not detect removal (happened after sundown),Time2_8,0
34,1/15/2022,Time2,8,W,SCRUB,FRUIT,7:14,,24.6,0,NA,1,6.967,14:12,14,Rain,Rainstorm/Cold front,Time2_8,0
35,3/1/2022,Time3,1,W,BURN,CONTROL,7:31,,23.6,2,2,1,6.95,14:29,14,Fair,,Time3_1,0
35,3/1/2022,Time3,1,W,BURN,FRUIT,7:31,,NA,15,15,1,3.983,11:30,11,Fair,MBE; Amazing Phanaeus footage,Time3_1,0
36,3/1/2022,Time3,1,W,SCRUB,CONTROL,7:38,,23.467,1,1,1,6.467,14:06,14,Fair,Shallow burial,Time3_1,0
36,3/1/2022,Time3,1,W,SCRUB,FRUIT,7:39,,23.867,5,5,1,4.15,11:48,11,Fair,,Time3_1,0
37,3/1/2022,Time3,7,W,BURN,CONTROL,7:01,,23.833,15,15,1,4.133,11:11,11,Fair,,Time3_7,0
37,3/1/2022,Time3,7,W,BURN,FRUIT,7:05,,23.683,1,1,1,5.983,12:56,12,Fair,,Time3_7,0
38,3/1/2022,Time3,7,W,SCRUB,CONTROL,7:08,,NA,15,15,1,3.8,10:56,10,Fair,,Time3_7,0
38,3/1/2022,Time3,7,W,SCRUB,FRUIT,7:13,,23.483,3,3,1,24,12:54,12,Fair,,Time3_7,0
39,3/1/2022,Time3,8,W,BURN,FRUIT,6:45,,23.767,1,1,1,5.65,12:24,12,Fair,,Time3_8,0
39,3/1/2022,Time3,8,W,BURN,CONTROL,NA,,NA,1,1,0,24,NA,NA,Fair,Camera malfunction,Time3_8,0
4,11/20/2021,Time1,2,F,SCRUB,FRUIT,6:45,,8:24,0,NA,0,24,NA,NA,Clear,,Time1_2,1
4,11/20/2021,Time1,2,F,SCRUB,CONTROL,8:01,,22.133,0,NA,0,24,NA,NA,Clear,,Time1_2,1
40,3/1/2022,Time3,8,W,SCRUB,FRUIT,6:39,,25.05,0,NA,0,24,NA,NA,Fair,,Time3_8,1
40,3/1/2022,Time3,8,W,SCRUB,CONTROL,6:29,,23.75,0,NA,0,24,NA,NA,Fair,,Time3_8,1
41,3/28/2022,Time4,5,W,BURN,CONTROL,8:36,,24.117,3,3,0,24,NA,NA,Fair,bad camera position,Time4_5,0
41,3/28/2022,Time4,5,W,BURN,FRUIT,8:40,,24.35,13,13,1,1.45,10:07,10,Fair,MBE,Time4_5,0
42,3/28/2022,Time4,5,W,SCRUB,CONTROL,8:45,,NA,2,2,1,9.667,18:25,18,Fair,,Time4_5,0
42,3/28/2022,Time4,5,W,SCRUB,FRUIT,NA,,NA,15,15,0,24,NA,NA,Fair,Camera malfunction,Time4_5,0
43,3/28/2022,Time4,6,W,BURN,FRUIT,8:20,,24.9,15,15,1,1.92,10:15,10,Fair,,Time4_6,0
43,3/28/2022,Time4,6,W,BURN,CONTROL,7:31,,23.6,13,13,0,24,NA,NA,Fair,,Time4_6,0
44,3/28/2022,Time4,6,W,SCRUB,FRUIT,8:20,,24.9,15,15,1,1.63,9:58,9,Fair,,Time4_6,0
44,3/28/2022,Time4,6,W,SCRUB,CONTROL,8:28,,24.9,10,10,1,3.77,12:14,12,Fair,,Time4_6,0
45,4/28/2022,Time5,8,SP,BURN,CONTROL,NA,,NA,0,NA,0,24,NA,NA,Fair,,Time5_8,0
45,4/28/2022,Time5,8,SP,BURN,FRUIT,7:30,,24.04,3,3,1,16.17,11:40,11,Fair,,Time5_8,0
46,4/28/2022,Time5,8,SP,SCRUB,CONTROL,7:21,,23.75,0,NA,0,24,NA,NA,Fair,,Time5_8,0
46,4/28/2022,Time5,8,SP,SCRUB,FRUIT,7:17,,23.47,9,9,1,12.97,20:15,20,Fair,ANTIDISPERSAL EVENT,Time5_8,0
47,5/22/2022,Time6,3A,SP,BURN,CONTROL,8:28,19:42,11.23,2,2,1,2.43,10:54,10,FAIR,,Time6_3A,0
47,5/22/2022,Time6,3A,SP,BURN,FRUIT,8:09,19:40,11.52,2,2,1,2.22,10:22,10,FAIR,,Time6_3A,0
48,5/22/2022,Time6,3B,SP,BURN,FRUIT,9:35,20:16,10.68,6,6,1,4.58,14:10,14,FAIR,,Time6_3B,0
48,5/22/2022,Time6,3B,SP,BURN,CONTROL,9:36,20:18,10.7,1,1,1,7.4,17:00,17,FAIR,,Time6_3B,0
49,5/22/2022,Time6,4A,SP,SCRUB,CONTROL,9:44,20:23,10.53,0,NA,0,24,NA,NA,FAIR,,Time6_4A,0
49,5/22/2022,Time6,4A,SP,SCRUB,FRUIT,9:47,20:25,10.63,9,9,1,1.55,11:20,11,FAIR,,Time6_4A,0
5,11/20/2021,Time1,4,F,BURN,FRUIT,13:02,,23.503,3,3,1,21.798,10:50,10,Clear,,Time1_4,0
5,11/20/2021,Time1,4,F,BURN,CONTROL,13:04,,23.553,0,NA,0,24,NA,NA,Clear,,Time1_4,0
50,5/22/2022,Time6,4B,SP,SCRUB,CONTROL,10:25,21:01,10.6,1,1,1,1.3,11:43,11,FAIR,,Time6_4B,0
50,5/22/2022,Time6,4B,SP,SCRUB,FRUIT,10:06,18:00,7.9,3,3,1,1.83,11:56,11,FAIR,,Time6_4B,0
51,5/24/2022,Time6,3A,SP,BURN,CONTROL,7:40,19:46,12.1,2,2,1,5.75,13:25,13,RAIN,,Time6_3A,0
51,5/24/2022,Time6,3A,SP,BURN,FRUIT,7:38,19:21,11.72,0,NA,0,24,NA,NA,RAIN,,Time6_3A,0
52,5/24/2022,Time6,3B,SP,BURN,CONTROL,8:14,20:09,11.92,2,2,1,2.867,11:06,11,RAIN,,Time6_3B,0
52,5/24/2022,Time6,3B,SP,BURN,FRUIT,8:14,20:16,12.03,0,NA,0,24,NA,NA,RAIN,,Time6_3B,0
53,5/24/2022,Time6,4A,SP,SCRUB,CONTROL,8:31,20:13,11.7,0,NA,0,24,NA,NA,RAIN,,Time6_4A,0
53,5/24/2022,Time6,4A,SP,SCRUB,FRUIT,8:38,20:18,11.67,9,9,1,3.53,12:10,12,RAIN,,Time6_4A,0
54,5/24/2022,Time6,4B,SP,SCRUB,CONTROL,9:12,20:44,11.53,1,1,1,3.72,12:55,12,RAIN,,Time6_4B,0
54,5/24/2022,Time6,4B,SP,SCRUB,FRUIT,8:59,20:03,11.07,7,7,1,1.55,10:32,10,RAIN,,Time6_4B,0
55,5/25/2022,Time6,3A,SP,BURN,CONTROL,7:31,19:16,11.75,1,1,1,0.57,8:05,8,FAIR,,Time6_3A,0
55,5/25/2022,Time6,3A,SP,BURN,FRUIT,7:33,19:18,11.75,6,6,1,5.03,12:35,12,FAIR,,Time6_3A,0
56,5/25/2022,Time6,3B,SP,BURN,CONTROL,NA,NA,NA,0,NA,0,24,NA,NA,FAIR,,Time6_3B,0
56,5/25/2022,Time6,3B,SP,BURN,FRUIT,8:18,19:50,11.53,5,5,1,6.97,15:16,15,FAIR,,Time6_3B,0
57,5/25/2022,Time6,4A,SP,SCRUB,CONTROL,8:26,19:56,11.5,1,1,1,8,16:26,16,FAIR,,Time6_4A,0
57,5/25/2022,Time6,4A,SP,SCRUB,FRUIT,8:23,19:58,11.58,0,0,0,24,NA,NA,FAIR,,Time6_4A,0
58,5/25/2022,Time6,4B,SP,SCRUB,CONTROL,9:03,20:28,11.42,1,1,1,4.77,13:49,13,FAIR,,Time6_4B,0
58,5/25/2022,Time6,4B,SP,SCRUB,FRUIT,8:43,20:12,11.483,5,5,1,2.9,11:37,11,FAIR,,Time6_4B,0
59,5/27/2022,Time6,3A,SP,BURN,CONTROL,7:17,19:12,11.92,0,0,0,24,NA,NA,FAIR,,Time6_3A,0
59,5/27/2022,Time6,3A,SP,BURN,FRUIT,7:17,19:13,11.93,7,7,1,24,NA,NA,FAIR,,Time6_3A,0
6,11/20/2021,Time1,4,F,SCRUB,FRUIT,14:10,,23.62,0,NA,0,24,NA,NA,Clear,,Time1_4,1
6,11/20/2021,Time1,4,F,SCRUB,CONTROL,13:31,,23.17,0,NA,0,24,NA,NA,Clear,,Time1_4,1
60,5/27/2022,Time6,3B,SP,BURN,CONTROL,7:43,19:40,11.95,2,2,1,24,NA,NA,FAIR,,Time6_3B,0
60,5/27/2022,Time6,3B,SP,BURN,FRUIT,NA,NA,NA,7,7,1,24,NA,NA,FAIR,,Time6_3B,0
61,5/27/2022,Time6,4A,SP,SCRUB,CONTROL,NA,NA,NA,10,10,1,24,NA,NA,FAIR,,Time6_4A,0
61,5/27/2022,Time6,4A,SP,SCRUB,FRUIT,NA,NA,NA,1,1,1,24,NA,NA,FAIR,,Time6_4A,0
62,5/27/2022,Time6,4B,SP,SCRUB,CONTROL,NA,NA,NA,1,1,1,24,NA,NA,FAIR,,Time6_4B,0
62,5/27/2022,Time6,4B,SP,SCRUB,FRUIT,8:13,20:09,11.93,0,NA,0,24,NA,NA,FAIR,,Time6_4B,0
63,6/12/2022,Time7,AN-N,SP,SCRUB,CONTROL,9:44,19:15,9.51,15,15,1,2.2,11:56,11,FAIR,,Time7_AN-N,0
63,6/12/2022,Time7,AN-N,SP,SCRUB,FRUIT,9:24,19:03,9.65,15,15,1,3.98,10:38,10,FAIR,,Time7_AN-N,0
64,6/12/2022,Time7,AN-S,SP,SCRUB,CONTROL,9:03,18:43,9.67,3,3,1,2.58,11:38,11,FAIR,,Time7_AN-S,0
64,6/12/2022,Time7,AN-S,SP,SCRUB,FRUIT,8:58,18:42,9.73,3,3,1,2.4,11:22,11,FAIR,,Time7_AN-S,0
65,6/12/2022,Time7,SC-N,SP,SCRUB,CONTROL,7:49,18:16,10.45,0,NA,0,24,NA,NA,FAIR,,Time7_SC-N,0
65,6/12/2022,Time7,SC-N,SP,SCRUB,FRUIT,7:50,20:04,12.23,15,15,1,0.75,8:35,8,FAIR,,Time7_SC-N,0
66,6/12/2022,Time7,SC-S,SP,SCRUB,CONTROL,8:21,19:36,11.25,5,5,1,5.73,19:36,19,FAIR,,Time7_SC-S,0
66,6/12/2022,Time7,SC-S,SP,SCRUB,FRUIT,7:44,18:48,11.07,0,NA,0,24,NA,NA,FAIR,,Time7_SC-S,0
67,6/13/2022,Time7,AN-N,SP,SCRUB,CONTROL,8:48,19:03,10.25,15,15,1,3.4,12:12,12,FAIR,,Time7_AN-N,0
67,6/13/2022,Time7,AN-N,SP,SCRUB,FRUIT,8:54,18:58,10.07,15,15,1,2.53,11:26,11,FAIR,,Time7_AN-N,0
68,6/13/2022,Time7,AN-S,SP,SCRUB,CONTROL,8:27,18:43,10.22,0,NA,0,24,NA,NA,FAIR,,Time7_AN-S,0
68,6/13/2022,Time7,AN-S,SP,SCRUB,FRUIT,8:07,18:34,10.45,2,2,1,5.38,13:30,13,FAIR,,Time7_AN-S,0
69,6/13/2022,Time7,SC-N,SP,SCRUB,CONTROL,10:02,19:47,9.75,15,15,1,0.32,10:21,10,FAIR,,Time7_SC-N,0
69,6/13/2022,Time7,SC-N,SP,SCRUB,FRUIT,10:02,19:54,9.86,3,3,1,2.35,12:23,12,FAIR,,Time7_SC-N,0
7,11/20/2021,Time1,5,F,BURN,FRUIT,5:59,,24,15,15,1,6,11:59,11,Clear,,Time1_5,0
7,11/20/2021,Time1,5,F,BURN,CONTROL,6:02,,23.5,0,NA,0,24,NA,NA,Clear,,Time1_5,0
70,6/13/2022,Time7,SC-S,SP,SCRUB,CONTROL,9:26,17:03,7.62,6,6,1,0.28,9:43,9,FAIR,,Time7_SC-S,0
70,6/13/2022,Time7,SC-S,SP,SCRUB,FRUIT,8:44,18:34,9.83,4,4,1,4.2,12:56,12,FAIR,,Time7_SC-S,0
71,6/14/2022,Time7,AN-N,SP,SCRUB,CONTROL,8:17,18:18,10.01,8,8,1,2,10:17,10,FAIR,,Time7_AN-N,0
71,6/14/2022,Time7,AN-N,SP,SCRUB,FRUIT,8:17,19:25,11.13,13,13,1,2.58,10:52,10,FAIR,,Time7_AN-N,0
72,6/14/2022,Time7,AN-S,SP,SCRUB,CONTROL,8:13,19:29,11.27,7,7,1,3.13,11:12,11,FAIR,,Time7_AN-S,0
72,6/14/2022,Time7,AN-S,SP,SCRUB,FRUIT,8:00,19:15,11.25,13,13,1,8.2,16:12,16,FAIR,,Time7_AN-S,0
73,6/14/2022,Time7,SC-N,SP,SCRUB,CONTROL,7:17,18:51,11.57,15,15,1,2.37,9:39,9,FAIR,,Time7_SC-N,0
73,6/14/2022,Time7,SC-N,SP,SCRUB,FRUIT,7:24,18:56,NA,0,NA,0,24,NA,NA,FAIR,,Time7_SC-N,0
74,6/14/2022,Time7,SC-S,SP,SCRUB,CONTROL,7:44,19:05,11.35,8,8,1,2.82,10:33,10,FAIR,,Time7_SC-S,0
74,6/14/2022,Time7,SC-S,SP,SCRUB,FRUIT,6:57,18:20,11.38,2,2,1,3.13,10:05,10,FAIR,,Time7_SC-S,0
8,11/20/2021,Time1,5,F,SCRUB,FRUIT,6:09,,23.433,0,NA,0,24,NA,NA,Clear,,Time1_5,1
8,11/20/2021,Time1,5,F,SCRUB,CONTROL,6:04,,23.5,0,NA,0,24,NA,NA,Clear,,Time1_5,1
9,11/20/2021,Time1,6,F,BURN,FRUIT,10:10,,25.533,0,NA,0,24,NA,NA,Clear,,Time1_6,1
9,11/20/2021,Time1,6,F,BURN,CONTROL,10:06,,23.767,0,NA,0,24,NA,NA,Clear,,Time1_6,1
