Streatment,prob,SE,df,asymp.LCL,asymp.UCL
CONTROL,0.5309060663627733,0.09815025825102991,Inf,0.34329312548794055,0.7101715226466767
FRUIT,0.7488140497395265,0.07835216321524002,Inf,0.5685277394012872,0.8708783691801161
