Streatment,response,SE,df,asymp.LCL,asymp.UCL
CONTROL,3.029336655661646,0.8091170228821174,Inf,1.7947207734263035,5.1132636949511054
FRUIT,6.221207423624644,1.615769038368835,Inf,3.7393922265468302,10.350190475606606
