Streatment,response,SE,df,asymp.LCL,asymp.UCL
CONTROL,13.32263740745936,1.5909999921892934,Inf,10.542389084280432,16.836095316885203
FRUIT,9.949088642741257,1.1881273223589144,Inf,7.872854037437837,12.572869298785681
