Treatment,p,n,se,margin,lcl,ucl
50% burial,0.27980166666666667,1000,0.014195516686518396,0.03656522786015147,0.2432364388065152,0.31636689452681815
75% burial,0.34554666666666667,1000,0.015038090564370938,0.038735554345128875,0.3068111123215378,0.38428222101179554
No burial,0.13558222222222222,1000,0.010825880252409324,0.027885619590867296,0.10769660263135492,0.16346784181308952
